Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Ek Sthree,2000,115,Drama,5.7,15,Anil,Suman Ranganath,Kashish,Vivek Anand
Kannan Varuvaan,2000,135,Romance,5.8,39,Sundar C.,Karthik,Mantra,Divyaa Unni
Dil Kya Kare,1999,158,"Drama, Musical, Romance",5.1,"1,102",Prakash Jha,Ajay Devgn,Mahima Chaudhry,Kajol
Sangharsh,1999,127,"Action, Crime, Drama",6.8,"5,235",Tanuja Chandra,Preity Zinta,Akshay Kumar,Ashutosh Rana
Hum Dil De Chuke Sanam,1999,177,"Comedy, Drama, Musical",7.5,"17,490",Sanjay Leela Bhansali,Aishwarya Rai Bachchan,Salman Khan,Ajay Devgn
Lal Baadshah,1999,180,"Action, Drama",3.2,588,K.C. Bokadia,Amitabh Bachchan,Manisha Koirala,Shilpa Shetty Kundra
Sooryavansham,1999,168,"Action, Drama",6.3,"2,820",E.V.V. Satyanarayana,Pranavanand,Amitabh Bachchan,Soundarya
Kaala Samrajya,1999,119,"Action, Crime, Romance",4.2,36,Deepak Bahry,Sunil Shetty,Monica Bedi,Amrish Puri
Kaun,1999,90,"Mystery, Thriller",7.8,"3,764",Ram Gopal Varma,Urmila Matondkar,Manoj Bajpayee,Sushant Singh
Biwi No 1,1999,159,"Comedy, Drama, Romance",5.7,"5,464",David Dhawan,Karisma Kapoor,Salman Khan,Anil Kapoor
Anari No 1,1999,169,Comedy,5,636,Kuku Kohli,Govinda,Raveena Tandon,Simran
Arjun Pandit,1999,150,"Action, Crime, Romance",5.2,797,Rahul Rawail,Sunny Deol,Juhi Chawla,Saurabh Shukla
Hote Hote Pyar Hogaya,1999,140,"Romance, Action, Crime",5,291,Firoz Irani,Kajol,Atul Agnihotri,Jackie Shroff
Aarzoo,1999,175,"Drama, Romance",5.4,"1,445",Lawrence D'Souza,Madhuri Dixit,Akshay Kumar,Saif Ali Khan
Jaanwar,1999,172,"Action, Crime, Drama",6,"2,578",Suneel Darshan,Akshay Kumar,Karisma Kapoor,Shilpa Shetty Kundra
Zulmi,1999,129,"Action, Drama",4.5,655,Kuku Kohli,Akshay Kumar,Twinkle Khanna,Aruna Irani
International Khiladi,1999,175,"Action, Crime, Drama",4.8,"2,082",Umesh Mehra,Akshay Kumar,Twinkle Khanna,Rajat Bedi
Hogi Pyaar Ki Jeet,1999,180,"Action, Comedy, Drama",4.3,513,P. Vasu,Ajay Devgn,Shabana Raza,Arshad Warsi
Godmother,1999,150,"Crime, Drama, Thriller",6.7,202,Vinay Shukla,Shabana Azmi,Milind Gunaji,Nirmal Pandey
Mind,1999,160,"Drama, Romance",6.2,"5,078",Indra Kumar,Aamir Khan,Manisha Koirala,Sharmila Tagore
Chandaal Atma,1999,129,Horror,4.6,9,S.R. Pratap,Aparna,Rakesh Bedi,Sudhir Dalvi
Sneham Kosam,1999,169,"Action, Drama",6.5,270,K.S. Ravikumar,Chiranjeevi,Meena,Vijayakumar
Kachche Dhaage,1999,144,"Action, Drama, Thriller",6,"1,428",Milan Luthria,Ajay Devgn,Saif Ali Khan,Manisha Koirala
Split Wide Open,1999,103,"Crime, Drama",6.5,222,Dev Benegal,Rahul Bose,Laila Rouass,Shivaji Satam
Samarasimha Reddy,1999,148,"Action, Drama",7.1,466,Gopal B.,Nandamuri Balakrishna,Simran,Anjala Zaveri
Silsila Hai Pyar Ka,1999,150,"Comedy, Drama, Romance",2.5,209,Shrabani Deodhar,Karisma Kapoor,Chandrachur Singh,Aruna Irani
Naukar Ki Kameez,1999,104,Drama,6.6,30,Mani Kaul,Samir Ahmed,Vikrishnah Batt,Anu Joseph
Jaanam Samjha Karo,1999,153,"Drama, Romance",4.8,"1,705",Andaleeb Sultanpuri,Salman Khan,Urmila Matondkar,Jaspal Bhatti
Kairee,1999,93,Drama,5.4,104,Amol Palekar,Yogita Deshmukh,Shilpa Navalkar,Mohan Gokhale
Kartoos,1999,124,"Action, Thriller",5.1,514,Mahesh Bhatt,Sanjay Dutt,Jackie Shroff,Manisha Koirala
Hu Tu Tu,1999,172,Drama,6.4,442,Gulzar,Nana Patekar,Sunil Shetty,Tabu
Kabhi Paas Kabhi Fail,1999,95,"Comedy, Family",6.2,20,Virendra Saini,Sajeel Parakh,Saurabh Shukla,Sona
Kanave Kalaiyadhe,1999,157,"Action, Drama",6,22,V. Gowthaman,Sabitha Anand,Charlie,Chinnijayanth
Dillagi,1999,188,"Drama, Musical, Romance",5.3,"1,076",Sunny Deol,Sunny Deol,Bobby Deol,Urmila Matondkar
Hum Aapke Dil Mein Rehte Hain,1999,168,"Drama, Romance",5.7,"1,564",Satish Kaushik,Anil Kapoor,Kajol,Anupam Kher
Sarfarosh,1999,174,"Action, Drama",8.1,"24,454",John Mathew Matthan,Aamir Khan,Naseeruddin Shah,Sonali Bendre
Mast,1999,153,"Comedy, Musical, Romance",5.4,903,Ram Gopal Varma,Aftab Shivdasani,Urmila Matondkar,Dalip Tahil
Pyaar Koi Khel Nahin,1999,165,"Drama, Romance, Thriller",3.3,371,Subhash Sehgal,Sunny Deol,Mahima Chaudhry,Apoorva Agnihotri
Aaya Toofan,1999,111,Action,5.4,31,Deepak Balraj Vij,Mithun Chakraborty,Aditya Pancholi,Gulshan Grover
Rajaji,1999,150,"Comedy, Romance",4.6,344,Vimal Kumar,Govinda,Raveena Tandon,Satish Kaushik
Jahan Tum Le Chalo,1999,173,Romance,6.1,23,Desh Deepak,Rana Jung Bahadur,Shail Chaturvedi,Sonali Kulkarni
Main Tere Pyaar Mein Pagal,1999,146,Comedy,4.7,7,K. Raghavendra Rao,Tanikella Bharani,Brahmanandam,J.D. Chakravarthi
Mother,1999,142,"Comedy, Drama",4.3,54,Saawan Kumar Tak,Jeetendra,Rekha,Randhir Kapoor
Only You,1999,150,"Romance, Drama",6.1,"1,426",Ahathian,Sanjay Kapoor,Priya Gill,Sushmita Sen
Sikandar Sadak Ka,1999,144,"Action, Drama",3.9,12,T.L.V. Prasad,Mithun Chakraborty,Manek Bedi,Monica Bedi
Yeh Hai Mumbai Meri Jaan,1999,148,"Action, Comedy, Romance",4.4,263,Mahesh Bhatt,Saif Ali Khan,Twinkle Khanna,Chunky Panday
Khopdi The Skull,1999,97,Horror,2.8,8,Ramesh U. Lakhiani,Rajesh Bakshi,Shakti Kapoor,Sapna Sappu
Hum Tum Pe Marte Hain,1999,165,"Comedy, Drama, Romance",5.3,488,Nabh Kumar 'Raju',Govinda,Urmila Matondkar,Dimple Kapadia
Shool,1999,138,"Action, Crime, Drama",7.7,"2,932",Eeshwar Nivas,Manoj Bajpayee,Raveena Tandon,Sayaji Shinde
Jodi,1999,161,Romance,6.1,188,Praveenkanth,Manager Cheena,Sakthi Chidambaram,Isha Koppikar
Daag The Fire,1999,152,"Action, Drama, Thriller",4.8,670,Raj Kanwar,Sanjay Dutt,Chandrachur Singh,Mahima Chaudhry
Haseena Maan Jaayegi,1999,147,"Action, Comedy, Romance",6.2,"3,040",David Dhawan,Sanjay Dutt,Govinda,Karisma Kapoor
Benaam,1999,126,"Drama, Action, Horror",4.4,32,T.L.V. Prasad,Mithun Chakraborty,Aditya Pancholi,Payal Malhotra
Bade Dilwala,1999,146,"Comedy, Drama, Romance",3.6,"1,289",Shakeel Noorani,Sunil Shetty,Priya Gill,Paresh Rawal
Vaastav The Reality,1999,145,"Action, Crime, Drama",8,"12,996",Mahesh Manjrekar,Sanjay Dutt,Namrata Shirodkar,Reema Lagoo
Dracula,1999,92,Horror,3.8,18,Bhooshan Lal,Priya Rao,Kiran Kumar,Mohan Joshi
Dada,1999,133,Action,4.8,30,T.L.V. Prasad,Ishrat Ali,Arjun,Mithun Chakraborty
Gair,1999,148,"Action, Drama",3.7,195,Ashok Gaekwad,Ajay Devgn,Raveena Tandon,Reena Roy
Shera,1999,125,Action,5.1,56,T.L.V. Prasad,Asrani,Mithun Chakraborty,Pinky Chinoy
Rockford,1999,102,"Comedy, Drama",7.4,"1,352",Nagesh Kukunoor,Rohan Dey,Jayant Kripalani,Nandita Das
Periyanna,1999,148,"Action, Drama, Romance",4.8,230,S.A. Chandrashekhar,Vijayakanth,Meena,Suriya
Dahek A Burning Passion,1999,155,"Drama, Romance, Thriller",5.5,189,Lateef Binny,Sonali Bendre,Danny Denzongpa,Anang Desai
Maa Kasam,1999,132,Action,4.6,23,Ashok Gaekwad,Kasam Ali,Vikas Anand,Arjun
Kohram,1999,150,"Action, Comedy, Drama",5.4,603,Mehul Kumar,Amitabh Bachchan,Nana Patekar,Tabu
Thakshak,1999,163,"Action, Crime, Drama",5.9,583,Govind Nihalani,Ajay Devgn,Tabu,Amrish Puri
Akeli,1999,165,Romance,5.6,11,Vinod Pande,Perena Agarwal,Nandini Ghosal,Brij Gopal
Khoobsurat,1999,153,"Action, Comedy, Romance",5.3,758,Sanjay Chhel,Sanjay Dutt,Urmila Matondkar,Om Puri
Khooni Ilaaka The Prohibited Area,1999,87,Horror,5.6,21,Jitendra Chawda,Kishore Anand Bhanushali,Arif Khan,Anil Nagrath
Tabaahi The Destroyer,1999,133,Action,4.4,21,Gopi Sapru,Mithun Chakraborty,Divya Dutta,Neelu Hasan
Munnibai,1999,136,"Action, Crime, Drama",4,24,Kanti Shah,Dharmendra,Sapna Sappu,Durgesh Nandini
Taal,1999,179,"Drama, Musical, Romance",6.7,"5,068",Subhash Ghai,Akshaye Khanna,Anil Kapoor,Aishwarya Rai Bachchan
Bhopal Express,1999,100,Drama,7.1,367,Mahesh Mathai,Kay Kay Menon,Nethra Raghuraman,Zeenat Aman
Manchala,1999,137,Romance,5.2,5,Jayprakkash Shaw,Vivek Mushran,Gauri Khopkar,Rakesh Bedi
Hello Brother,1999,139,"Action, Comedy, Fantasy",4.7,"3,998",Sohail Khan,Salman Khan,Rani Mukerji,Arbaaz Khan
Aa Ab Laut Chalen,1999,177,"Musical, Romance, Drama",5.5,"1,621",Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
Laawaris,1999,117,"Action, Crime, Drama",4.4,151,Shrikant Sharma,Jackie Shroff,Dimple Kapadia,Akshaye Khanna
Nyaydaata,1999,123,Action,5.1,15,Vicky Ranawat,Tinnu Anand,Aparajita,Asrani
Heera Lal Panna Lal,1999,127,"Drama, Action, Comedy",4,60,Kawal Sharma,Mithun Chakraborty,Johnny Lever,Payal Malhotra
Bhoot Ka Darr,1999,85,Horror,4,9,S. Gawli,Sapna Sappu,Junior Amitabh Bachchan,Jyoti Rana
Baadshah,1999,175,"Action, Comedy, Crime",6.9,"17,279",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Shah Rukh Khan,Twinkle Khanna
Sautela,1999,139,Action,4.7,13,Rama Rao Tatineni,Vinay Anand,Mithun Chakraborty,Gulshan Grover
Hum SaathSaath Hain We Stand United,1999,177,"Drama, Musical",6.3,"7,359",Sooraj R. Barjatya,Mohnish Bahl,Salman Khan,Saif Ali Khan
Mere Do Anmol Ratan,1998,161,Drama,5,45,K. Ravi Shankar,Arshad Warsi,Namrata Shirodkar,Mukul Dev
Satya,1998,170,"Action, Crime, Drama",8.2,"13,918",Ram Gopal Varma,J.D. Chakravarthi,Manoj Bajpayee,Urmila Matondkar
Pyaar to Hona Hi Tha,1998,156,"Comedy, Drama, Romance",6.7,"2,998",Anees Bazmee,Ajay Devgn,Kajol,Bijay Anand
Ustadon Ke Ustad,1998,139,"Action, Drama",4.4,39,T.L.V. Prasad,Mithun Chakraborty,Avtar Gill,Mohan Joshi
Mohabbat Aur Jung,1998,126,Action,4.5,13,Hameed Alam,Aparajita,Mohnish Bahl,Rakesh Bedi
Sham Ghansham,1998,160,"Action, Drama",3.5,61,Ashok Ghai,Rakhee Gulzar,Chandrachur Singh,Arbaaz Khan
Mard,1998,135,Action,4.2,31,Ganpati Bohra,Mithun Chakraborty,Ravali,Kader Khan
Zakhm,1998,125,Drama,7.9,"3,007",Mahesh Bhatt,Ajay Devgn,Pooja Bhatt,Nagarjuna Akkineni
Saazish,1998,140,Drama,4.8,19,Sudhir R. Nair,Ishrat Ali,Pooja Batra,Vikas Bhalla
Wajood,1998,180,"Action, Crime, Drama",6.9,584,N. Chandra,Nana Patekar,Madhuri Dixit,Mukul Dev
Pyaar Kiya To Darna Kya,1998,162,"Action, Comedy, Drama",6.7,"4,770",Sohail Khan,Salman Khan,Kajol,Arbaaz Khan
Vivekananda,1998,240,"Biography, Drama",6.6,144,G.V. Iyer,Sarvadaman Banerjee,Mithun Chakraborty,Rakhee Gulzar
Mehndi,1998,153,Drama,3.4,299,Hamid Ali Khan,Faraaz Khan,Rani Mukerji,Ushma Rathod
Zor Never Underestimate the Force,1998,157,"Action, Drama, Thriller",4.3,268,Sangeeth Sivan,Sunny Deol,Sushmita Sen,Milind Gunaji
Main Solah Baras Ki,1998,150,"Musical, Romance",4.5,40,Dev Anand,Dev Anand,Jas Arora,Shaista Usta
Saat Rang Ke Sapne,1998,171,"Drama, Romance",5.9,96,Priyadarshan,Arvind Swamy,Juhi Chawla,Farida Jalal
Tirchhi Topiwale,1998,144,"Comedy, Drama, Musical",5,53,Nadeem Khan,Inder Kumar,Chunky Panday,Monica Bedi
Vinashak  Destroyer,1998,159,"Action, Crime, Drama",5.3,254,Ravi Dewan,Sunil Shetty,Raveena Tandon,Danny Denzongpa
Qila,1998,133,"Drama, Family, Music",5.1,109,Umesh Mehra,Dilip Kumar,Mukul Dev,Rekha
Miss 420,1998,135,"Action, Romance, Thriller",4.3,34,Akashdeep,Baba Sehgal,Sheeba,Shakti Kapoor
Maut,1998,120,Horror,4.3,25,Jeetu,Sapna Sappu,Raj Premi,Shabbir
Major Saab,1998,165,"Action, Drama, Romance",5.3,"2,083",Tinnu Anand,Amitabh Bachchan,Ajay Devgn,Sonali Bendre
Train to Pakistan,1998,111,"Drama, War",6.7,245,Pamela Rooks,Mohan Agashe,Nirmal Pandey,Rajit Kapoor
Salaakhen,1998,165,"Action, Drama",5.4,421,Guddu Dhanoa,Sunny Deol,Raveena Tandon,Anupam Kher
Tamanna,1998,127,Drama,6.8,302,Mahesh Bhatt,Paresh Rawal,Pooja Bhatt,Sharad S. Kapoor
Soldier,1998,156,"Action, Drama, Musical",6.2,"2,757",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Bobby Deol,Preity Zinta
Maharaja,1998,164,"Action, Adventure, Comedy",4.1,420,Anil Sharma,Govinda,Manisha Koirala,Raj Babbar
Samar,1998,126,Drama,7.5,31,Shyam Benegal,Rajeshwari Sachdev,Rajit Kapoor,Ravi Jhankal
Prem Aggan,1998,168,"Drama, Romance",1.7,544,Feroz Khan,Fardeen Khan,Meghna Kothari,Sameer Malhotra
When One Falls in Love,1998,154,"Comedy, Drama, Romance",5.8,"2,589",Deepak Sareen,Salman Khan,Twinkle Khanna,Johnny Lever
ZulmOSitam,1998,130,"Action, Drama",6.2,20,K.C. Bokadia,Dharmendra,Jaya Prada,Arjun Sarja
Jungle Love Story,1998,133,Romance,6.2,6,Dilip Gulati,Raza Murad,Amrit Pal,Raju Srivastava
Gharwali Baharwali,1998,138,Comedy,4.6,640,David Dhawan,Anil Kapoor,Raveena Tandon,Rambha
Bade Miyan Chote Miyan,1998,140,"Action, Comedy, Musical",5.8,"2,787",David Dhawan,Amitabh Bachchan,Govinda,Raveena Tandon
Earth,1998,110,"Drama, Romance, War",7.7,"7,523",Deepa Mehta,Aamir Khan,Nandita Das,Rahul Khanna
Dushman,1998,145,"Crime, Drama, Thriller",6.9,"1,841",Tanuja Chandra,Kajol,Sanjay Dutt,Ashutosh Rana
Dulhe Raja,1998,143,Comedy,6.6,"2,610",Harmesh Malhotra,Govinda,Raveena Tandon,Kader Khan
Badmaash,1998,119,Action,2.5,25,Goutam Pawar,Jackie Shroff,Shilpa Shirodkar,Paresh Rawal
Doli Saja Ke Rakhna,1998,170,"Drama, Romance",6.4,505,Priyadarshan,Akshaye Khanna,Jyotika,Anupam Kher
Do Numbri,1998,139,Action,3.8,24,T.L.V. Prasad,Mithun Chakraborty,Sneha,Sadashiv Amrapurkar
Jhooth Bole Kauwa Kaate,1998,148,"Comedy, Romance",5.7,771,Hrishikesh Mukherjee,Anil Kapoor,Juhi Chawla,Amrish Puri
Bandhan,1998,154,"Action, Drama, Romance",4.8,"1,852",K. Muralimohana Rao,Rajesh Malik,Jackie Shroff,Salman Khan
Kareeb,1998,145,"Drama, Romance",6.5,"1,094",Vidhu Vinod Chopra,Bobby Deol,Shabana Raza,Abhay Chopra
Barood,1998,159,"Action, Crime, Drama",4.7,626,Pramod Chakravorty,Rakhee Gulzar,Akshay Kumar,Raveena Tandon
Barsaat Ki Raat,1998,151,Musical,3.7,12,Bharat Kapoor,Dharmendra,Dinesh Hingoo,Shafi Inamdar
Dil Se,1998,163,"Drama, Romance",7.6,"27,393",Mani Ratnam,Shah Rukh Khan,Manisha Koirala,Preity Zinta
Kudrat,1998,186,"Action, Drama, Romance",4.5,139,Raj N. Sippy,Akshaye Khanna,Urmila Matondkar,Maya Alagh
Kuch Kuch Hota Hai,1998,177,"Comedy, Drama, Musical",7.6,"49,322",Karan Johar,Shah Rukh Khan,Kajol,Rani Mukerji
Achanak,1998,160,"Action, Mystery, Thriller",4,245,Naresh Malhotra,Govinda,Manisha Koirala,Farha Naaz
Bhayaanak,1998,105,Horror,4.3,6,R. Mittal,Anil Dhawan,Tina Ghai,Bharat Kapoor
Bombay Boys,1998,105,"Comedy, Crime, Drama",6.5,557,Kaizad Gustad,Naveen Andrews,Rahul Bose,Alexander Gifford
Devta,1998,177,Action,3.5,21,Jagdish A. Sharma,Arun Bakshi,Mithun Chakraborty,Mushtaq Khan
Chhota Chetan,1998,103,"Adventure, Comedy, Family",5.7,155,Jijo Punnoose,Urmila Matondkar,Dalip Tahil,Satish Kaushik
Kabhi Na Kabhi,1998,157,"Action, Drama, Romance",4.3,158,Priyadarshan,Jackie Shroff,Anil Kapoor,Pooja Bhatt
Dand Nayak,1998,153,Action,3.7,24,Sikander Bharti,Arjun,Arun Bakshi,Arun Bali
China Gate,1998,175,"Action, Adventure, Drama",6.6,"1,430",Rajkumar Santoshi,Om Puri,Naseeruddin Shah,Danny Denzongpa
Dahan,1998,145,Drama,7.4,285,Rituparno Ghosh,Shakuntala Barua,Chandni,Abhishek Chatterjee
Kadhal Mannan,1998,135,"Drama, Romance",7.1,789,Saran,Ajith Kumar,Maanu,M.S. Viswanathan
Ghar Bazar,1998,130,"Action, Crime, Drama",4.4,10,D.S. Azad,Shekhar Suman,Natasha Shailendra,Sharmila Tagore
Duplicate,1998,164,"Action, Comedy, Crime",5.6,"7,174",Mahesh Bhatt,Shah Rukh Khan,Juhi Chawla,Sonali Bendre
Jaane Jigar,1998,175,"Comedy, Drama, Family",3.3,30,Arshad Khan,Talat Jani,Jackie Shroff,Ayub Khan
Gunda,1998,129,"Action, Comedy, Crime",7.3,"9,990",Kanti Shah,Mithun Chakraborty,Mukesh Rishi,Mohan Joshi
Hyderabad Blues,1998,85,"Comedy, Drama, Romance",7.2,903,Nagesh Kukunoor,Nagesh Kukunoor,Rajshri Nair,Vikram Inamdar
Himmatwala,1998,120,Action,4.3,26,Jayant Gilatar,Tinnu Anand,Beena Banerjee,Mithun Chakraborty
Hero Hindustani,1998,152,"Action, Comedy, Drama",4.8,308,Aziz Sejawal,Arshad Warsi,Namrata Shirodkar,Kader Khan
Hazaar Chaurasi Ki Maa,1998,186,Drama,7.1,274,Govind Nihalani,Jaya Bachchan,Anupam Kher,Seema Biswas
Hatyara,1998,136,Action,5.6,31,T.L.V. Prasad,Mithun Chakraborty,Suman Ranganath,Rami Reddy
2001 Do Hazaar Ek,1998,149,"Crime, Mystery, Thriller",3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
Iski Topi Uske Sarr,1998,129,"Action, Crime, Drama",4.4,45,Raju Mavani,Arun Bakshi,Prem Chopra,Sunny Deol
Angaaray,1998,141,"Action, Crime, Drama",5.3,793,Mahesh Bhatt,Akshay Kumar,Nagarjuna Akkineni,Pooja Bhatt
Hafta Vasuli,1998,140,Action,4.9,25,Deepak Balraj Vij,Jackie Shroff,Aditya Pancholi,Ayub Khan
Keemat They Are Back,1998,162,"Action, Comedy, Drama",5.7,"1,146",Sameer Malkan,Akshay Kumar,Raveena Tandon,Saif Ali Khan
Auto Driver,1998,119,Romance,4.8,44,Suresh Krishna,Nagarjuna Akkineni,Mahesh Anand,Babu Mohan
Ghulam,1998,162,"Action, Crime, Drama",7.3,"10,997",Vikram Bhatt,Aamir Khan,Rani Mukerji,Rajit Kapoor
Aunty No 1,1998,160,"Comedy, Drama, Romance",4.3,583,Kirti Kumar,Govinda,Raveena Tandon,Harish
Aavida Maa Aavide,1998,153,"Comedy, Romance",6.4,170,E.V.V. Satyanarayana,Nagarjuna Akkineni,Tabu,Heera Rajgopal
Ankhon Mein Tum Ho,1997,151,Romance,5.5,46,Ashim S. Samanta,Anuraag,Rakhee Gulzar,Satyendra Kapoor
Kaun Sachcha Kaun Jhootha,1997,130,"Drama, Mystery, Thriller",5.5,101,Partho Ghosh,Rishi Kapoor,Sridevi,Suresh Oberoi
Virasat,1997,165,"Drama, Family, Musical",7.5,"2,533",Priyadarshan,Anil Kapoor,Tabu,Pooja Batra
Daadagiri,1997,138,"Drama, Action, Comedy",4.6,30,Arshad Khan,Ayub Khan,Ritu Parna,Simran
Agnee Morcha,1997,142,Action,3.1,14,Raju Chouhan,Aparajita,Birbal,Dharmendra
Agni IPS,1997,137,Action,7.8,33,Anand P. Raju,Saroja Devi B.,Saikumar,Ranjitha
Chachi 420,1997,155,"Comedy, Drama, Family",7.4,"12,575",Kamal Haasan,Kamal Haasan,Amrish Puri,Om Puri
Kalsandhya,1997,124,Drama,7.2,13,Bhabendra Nath Saikia,Hemen Barman,Munin Barua,Mridula Baruah
Border,1997,176,"Action, Drama, History",7.9,"14,399",J.P. Dutta,Sunny Deol,Sunil Shetty,Akshaye Khanna
Kaun Rokega Mujhe,1997,123,"Action, Thriller",3.8,18,Kamal Raj Bhasin,Coca Cola,Sadashiv Amrapurkar,Asrani
Bhai Bhai,1997,172,Action,3.8,24,Sikander Bharti,Manek Bedi,Samrat Mukherjee,Megha
Agnichakra,1997,123,Action,3.6,53,Ketan Anand,Amit Suryavanshi,Naseeruddin Shah,Govinda
Kamsin The Untouched,1997,88,Drama,5.1,12,Amit Suryavanshi,Birbal,K.K. Goswami,Jyoti
Allah Meharban To Gadha Pehalwan,1997,149,Comedy,4.3,7,Ravindra Arora,Zahid Ali,Shakti Kapoor,Kader Khan
Bhai,1997,147,"Action, Drama",5.1,353,Deepak S. Shivdasani,Sunil Shetty,Pooja Batra,Sonali Bendre
Auzaar,1997,127,"Action, Drama, Musical",4.5,976,Sohail Khan,Salman Khan,Sanjay Kapoor,Shilpa Shetty Kundra
Melody,1997,148,"Drama, Musical",6.4,123,Sai Paranjape,Shabana Azmi,Aruna Irani,Zakir Hussain
Betaabi,1997,188,"Drama, Romance",4.4,104,Rajesh Ram Singh,Chandrachur Singh,Arshad Warsi,Anjala Zaveri
Banarasi Babu,1997,126,Comedy,4.2,231,David Dhawan,Govinda,Ramya Krishnan,Kader Khan
Tarazu,1997,144,"Action, Crime, Drama",4.5,589,Vimal Kumar,Akshay Kumar,Sonali Bendre,Mohnish Bahl
Udaan,1997,128,"Action, Crime, Drama",4.5,142,Asrani,Rekha,Saif Ali Khan,Madhoo
Chudail,1997,98,Horror,4.9,10,P. Chandrakumar,Kiran Kumar,Poonam Dasgupta,Anil Dhawan
Loha,1997,160,Action,5.5,515,Kanti Shah,Dharmendra,Mithun Chakraborty,Govinda
Daava,1997,145,"Action, Drama, Romance",4.5,571,Sunil Agnihotri,Naseeruddin Shah,Akshay Kumar,Raveena Tandon
Rui Ka Bojh,1997,117,Drama,7.7,215,Subhash Agrawal,Pankaj Kapur,Reema Lagoo,Raghuvir Yadav
Ghoonghat,1997,120,"Action, Comedy, Drama",5.4,27,Chinni Prakash,Inder Kumar,Ayesha Jhulka,Arun Bakshi
Naseeb,1997,138,"Comedy, Drama, Romance",5.3,333,Kirti Kumar,Govinda,Mamta Kulkarni,Saeed Jaffrey
GhulamEMusthafa,1997,162,"Action, Crime, Drama",6.6,"1,120",Partho Ghosh,Nana Patekar,Raveena Tandon,Paresh Rawal
Private Detective Two Plus Two Plus One,1997,130,Mystery,5.8,63,Rajat Kapoor,Naseeruddin Shah,Shambhavi Kaul,Irrfan Khan
Prithvi,1997,136,"Action, Mystery, Thriller",4.4,108,Nitin Manmohan,Sunil Shetty,Shilpa Shetty Kundra,Suresh Oberoi
Pret Atma,1997,114,Horror,3.5,6,R. Mittal,Rajesh Mittal,Birbal,Anil Dhawan
Gudgudee,1997,138,"Musical, Romance",4.2,336,Basu Chatterjee,Anupam Kher,Pratibha Sinha,Jugal Hansraj
Gudia,1997,139,Drama,6.7,49,Goutam Ghose,Mithun Chakraborty,Nandana Sen,Pran
Gupt The Hidden Truth,1997,173,"Action, Crime, Mystery",7.3,"4,687",Rajiv Rai,Bobby Deol,Kajol,Manisha Koirala
Itihaas,1997,154,"Action, Drama, Romance",3.5,292,Raj Kanwar,Ajay Devgn,Twinkle Khanna,Amrish Puri
Ishq,1997,161,"Action, Comedy, Drama",6.9,"10,128",Indra Kumar,Aamir Khan,Ajay Devgn,Juhi Chawla
Hameshaa,1997,141,"Action, Drama, Romance",5.3,629,Sanjay Gupta,Saif Ali Khan,Kajol,Aditya Pancholi
Pardes,1997,191,"Drama, Musical, Romance",7,"14,018",Subhash Ghai,Shah Rukh Khan,Mahima Chaudhry,Amrish Puri
Insaaf The Final Justice,1997,155,"Action, Comedy, Drama",4.2,864,Dayal Nihalani,Akshay Kumar,Shilpa Shetty Kundra,Paresh Rawal
Hero No 1,1997,134,"Comedy, Drama, Musical",6.2,"2,737",David Dhawan,Govinda,Karisma Kapoor,Kader Khan
Raja Ki Ayegi Baraat,1997,158,"Drama, Romance",3.7,373,Ashok Gaekwad,Shadaab Khan,Rani Mukerji,Gulshan Grover
Jeevan Yudh,1997,136,"Action, Drama, Family",5.1,32,Partho Ghosh,Mithun Chakraborty,Atul Agnihotri,Mamta Kulkarni
Shapath,1997,140,Action,5.5,90,Rajiv Babbar,Mithun Chakraborty,Vineeta,Jackie Shroff
Mrityudand The Death Sentence,1997,150,"Action, Drama",7.3,424,Prakash Jha,Shabana Azmi,Madhuri Dixit,Ayub Khan
Darmiyaan In Between,1997,128,Drama,7.2,62,Kalpana Lajmi,Kirron Kher,Arif Zakaria,Tabu
Daud Fun on the Run,1997,180,"Action, Adventure, Comedy",5.9,"1,006",Ram Gopal Varma,Sanjay Dutt,Urmila Matondkar,Paresh Rawal
Deewana Mastana,1997,140,"Comedy, Romance",6.7,"2,488",David Dhawan,Anil Kapoor,Govinda,Juhi Chawla
Mohabbat,1997,180,"Drama, Romance",5.3,474,Reema Rakesh Nath,Madhuri Dixit,Sanjay Kapoor,Akshaye Khanna
Dhaal The Battle of Law Against Law,1997,148,"Action, Drama",5.1,68,Sameer Malkan,Vinod Khanna,Sunil Shetty,Gautami
Mohabbat Ki Aag,1997,127,"Drama, Romance",3.5,13,K.R. Reddy,Poonam Dhillon,Govinda,Shakti Kapoor
Dharma Karma,1997,128,"Action, Drama",5.8,34,Ravi Varma,Gajendra Chauhan,Dan Dhanoa,Dharmendra
Judwaa,1997,138,"Action, Comedy, Drama",6.1,"5,679",David Dhawan,Salman Khan,Karisma Kapoor,Rambha
Judge Mujrim,1997,137,"Action, Drama",3.9,66,Jagdish A. Sharma,Jeetendra,Sunil Shetty,Sujata Mehta
